"","x"
"1","A0A3B3ISS9"
"2","A0A3B3IT34"
"3","A0A494C176"
"4","AACS"
"5","AARD"
"6","AARS1"
"7","AATK"
"8","ABAT"
"9","ABCA12"
"10","ABCA3"
"11","ABCB5"
"12","ABCB6"
"13","ABI1"
"14","ABI2"
"15","ABL1"
"16","ABLIM1"
"17","ACADM"
"18","ACAT1"
"19","ACE"
"20","ACER1"
"21","ACHE"
"22","ACIN1"
"23","ACO2"
"24","ACP4"
"25","ACP5"
"26","ACP6"
"27","ACSL3"
"28","ACTA1"
"29","ACTA2"
"30","ACTB"
"31","ACTC1"
"32","ACTG2"
"33","ACTL6A"
"34","ACTL6B"
"35","ACTN1"
"36","ACTN2"
"37","ACTN3"
"38","ACVR1"
"39","ACVR1B"
"40","ACVR2A"
"41","ACVR2B"
"42","ACVRL1"
"43","ADA"
"44","ADAM10"
"45","ADAM15"
"46","ADAM17"
"47","ADAM19"
"48","ADAM20"
"49","ADAM21"
"50","ADAM29"
"51","ADAM8"
"52","ADAM9"
"53","ADAMTS1"
"54","ADAMTS12"
"55","ADAMTS16"
"56","ADAMTS18"
"57","ADAMTS2"
"58","ADAMTS5"
"59","ADAMTS6"
"60","ADAMTS7"
"61","ADAMTS9"
"62","ADAMTSL2"
"63","ADAP2"
"64","ADAR"
"65","ADARB1"
"66","ADCY1"
"67","ADCYAP1"
"68","ADD2"
"69","ADGRB1"
"70","ADGRF5"
"71","ADGRG1"
"72","ADGRG3"
"73","ADGRG6"
"74","ADGRL2"
"75","ADGRL3"
"76","ADGRV1"
"77","ADIPOQ"
"78","ADM"
"79","ADRA1A"
"80","AFF2"
"81","AFP"
"82","AGER"
"83","AGO1"
"84","AGO3"
"85","AGO4"
"86","AGPAT5"
"87","AGR2"
"88","AGRN"
"89","AGT"
"90","AGTPBP1"
"91","AGTR1"
"92","AGTR2"
"93","AHI1"
"94","AHSP"
"95","AICDA"
"96","AIF1"
"97","AIMP2"
"98","AIRE"
"99","AK4"
"100","AK8"
"101","AKAP13"
"102","AKNA"
"103","AKR1B1"
"104","AKR1C3"
"105","AKT3"
"106","ALAS1"
"107","ALAS2"
"108","ALDH1A2"
"109","ALDH1A3"
"110","ALK"
"111","ALKBH1"
"112","ALOX12"
"113","ALOX12B"
"114","ALOX15"
"115","ALOX15B"
"116","ALOXE3"
"117","ALPK2"
"118","ALPK3"
"119","ALPL"
"120","ALX1"
"121","ALX3"
"122","ALX4"
"123","AMBN"
"124","AMELX"
"125","AMELY"
"126","AMER1"
"127","AMH"
"128","AMIGO1"
"129","AMIGO2"
"130","AMIGO3"
"131","AMTN"
"132","ANG"
"133","ANGPT1"
"134","ANGPT2"
"135","ANGPTL7"
"136","ANHX"
"137","ANK2"
"138","ANKRD1"
"139","ANKRD11"
"140","ANKRD2"
"141","ANKRD33"
"142","ANKRD54"
"143","ANKS6"
"144","ANXA1"
"145","ANXA2"
"146","ANXA3"
"147","ANXA6"
"148","AP1B1"
"149","AP2B1"
"150","AP3B1"
"151","AP3D1"
"152","APAF1"
"153","APCDD1"
"154","APCS"
"155","APELA"
"156","APLN"
"157","APLNR"
"158","APLP1"
"159","APOA1"
"160","APOA2"
"161","APOD"
"162","APP"
"163","AQP1"
"164","AQP11"
"165","AQP2"
"166","AQP3"
"167","AQP5"
"168","AQP6"
"169","AR"
"170","AREG"
"171","ARF6"
"172","ARG1"
"173","ARG2"
"174","ARHGAP11B"
"175","ARHGAP5"
"176","ARHGEF15"
"177","ARID2"
"178","ARID4A"
"179","ARID5B"
"180","ARL13B"
"181","ARL3"
"182","ARMC5"
"183","ARMC6"
"184","ARNT2"
"185","ARPC5"
"186","ARRB1"
"187","ARRB2"
"188","ARRDC3"
"189","ARTN"
"190","ARX"
"191","ASAH1"
"192","ASB1"
"193","ASB2"
"194","ASCL1"
"195","ASCL2"
"196","ASCL4"
"197","ASGR2"
"198","ASH2L"
"199","ASNS"
"200","ASPM"
"201","ASPN"
"202","ASPRV1"
"203","ASS1"
"204","ASXL2"
"205","ASXL3"
"206","ATAT1"
"207","ATF2"
"208","ATF3"
"209","ATF5"
"210","ATG5"
"211","ATIC"
"212","ATM"
"213","ATOH1"
"214","ATOH7"
"215","ATP1A2"
"216","ATP1B2"
"217","ATP2B1"
"218","ATP2B4"
"219","ATP2C2"
"220","ATP5PB"
"221","ATP6V1B1"
"222","ATP7A"
"223","ATP8A2"
"224","ATP8B1"
"225","ATRNL1"
"226","ATRX"
"227","ATXN1"
"228","ATXN1L"
"229","AURKA"
"230","AVPR1A"
"231","AVPR2"
"232","AXIN2"
"233","AXL"
"234","AZI2"
"235","B2M"
"236","B3GNT5"
"237","B4GALT2"
"238","B9D1"
"239","BAAT"
"240","BAG3"
"241","BAIAP2"
"242","BAK1"
"243","BARHL1"
"244","BARX1"
"245","BARX2"
"246","BASP1"
"247","BATF"
"248","BATF2"
"249","BATF3"
"250","BAX"
"251","BBS2"
"252","BBS4"
"253","BBS5"
"254","BBS7"
"255","BBX"
"256","BCAN"
"257","BCAR3"
"258","BCL11B"
"259","BCL2"
"260","BCL2A1"
"261","BCL2L1"
"262","BCL2L11"
"263","BCL3"
"264","BCL6"
"265","BCL9"
"266","BCOR"
"267","BCR"
"268","BFSP1"
"269","BFSP2"
"270","BGLAP"
"271","BGN"
"272","BICC1"
"273","BID"
"274","BIK"
"275","BIN3"
"276","BIRC2"
"277","BIRC6"
"278","BIRC7"
"279","BLK"
"280","BLNK"
"281","BLOC1S3"
"282","BMERB1"
"283","BMP1"
"284","BMP10"
"285","BMP15"
"286","BMP2"
"287","BMP3"
"288","BMP4"
"289","BMP5"
"290","BMP6"
"291","BMP7"
"292","BMP8A"
"293","BMP8B"
"294","BMPER"
"295","BMPR1A"
"296","BMPR1B"
"297","BMPR2"
"298","BNC2"
"299","BNIP3"
"300","BOK"
"301","BORCS8"
"302","BPNT2"
"303","BPTF"
"304","BRAF"
"305","BRCA2"
"306","BRD1"
"307","BRIP1"
"308","BSX"
"309","BTBD3"
"310","BTG2"
"311","BTK"
"312","BTRC"
"313","BVES"
"314","C12orf29"
"315","C17orf99"
"316","C1GALT1"
"317","C1orf127"
"318","C1QC"
"319","C2CD3"
"320","C5AR1"
"321","CA10"
"322","CA2"
"323","CABP4"
"324","CACNA1C"
"325","CACNA1G"
"326","CACNA1H"
"327","CACYBP"
"328","CAD"
"329","CALB1"
"330","CALCRL"
"331","CALM2"
"332","CAMK4"
"333","CAPN1"
"334","CAPN3"
"335","CARD11"
"336","CARTPT"
"337","CASP14"
"338","CASP2"
"339","CASP3"
"340","CASP5"
"341","CASP7"
"342","CASP8"
"343","CASP9"
"344","CASQ1"
"345","CASR"
"346","CAT"
"347","CAV1"
"348","CAV2"
"349","CAV3"
"350","CAVIN4"
"351","CBFA2T3"
"352","CBFB"
"353","CBL"
"354","CBLN1"
"355","CC2D2A"
"356","CCBE1"
"357","CCDC103"
"358","CCDC134"
"359","CCDC14"
"360","CCDC141"
"361","CCDC154"
"362","CCDC182"
"363","CCDC39"
"364","CCDC40"
"365","CCDC85C"
"366","CCIN"
"367","CCKAR"
"368","CCKBR"
"369","CCL11"
"370","CCL19"
"371","CCL2"
"372","CCL3"
"373","CCM2"
"374","CCN1"
"375","CCN2"
"376","CCN3"
"377","CCN4"
"378","CCNA2"
"379","CCNB1"
"380","CCNB2"
"381","CCND1"
"382","CCNF"
"383","CCNT2"
"384","CCR1"
"385","CCR2"
"386","CCR6"
"387","CCR7"
"388","CCR9"
"389","CD109"
"390","CD164"
"391","CD19"
"392","CD1D"
"393","CD2"
"394","CD24"
"395","CD248"
"396","CD27"
"397","CD28"
"398","CD34"
"399","CD3D"
"400","CD3E"
"401","CD3G"
"402","CD4"
"403","CD40LG"
"404","CD44"
"405","CD46"
"406","CD74"
"407","CD79A"
"408","CD79B"
"409","CD80"
"410","CD83"
"411","CD86"
"412","CD8A"
"413","CD9"
"414","CDC73"
"415","CDH1"
"416","CDH17"
"417","CDH2"
"418","CDH22"
"419","CDH23"
"420","CDH3"
"421","CDIN1"
"422","CDK1"
"423","CDK13"
"424","CDK2"
"425","CDK5"
"426","CDK5R1"
"427","CDK5R2"
"428","CDK5RAP1"
"429","CDK5RAP2"
"430","CDK5RAP3"
"431","CDK6"
"432","CDKL1"
"433","CDKN1A"
"434","CDKN2B"
"435","CDO1"
"436","CDSN"
"437","CDX1"
"438","CDX2"
"439","CDX4"
"440","CEACAM1"
"441","CEBPA"
"442","CEBPB"
"443","CEBPE"
"444","CEBPG"
"445","CECR2"
"446","CELA1"
"447","CELA2A"
"448","CELSR1"
"449","CELSR2"
"450","CEMP1"
"451","CEND1"
"452","CENPF"
"453","CEP120"
"454","CEP290"
"455","CER1"
"456","CERS3"
"457","CERT1"
"458","CFAP43"
"459","CFC1"
"460","CFC1B"
"461","CFL2"
"462","CFLAR"
"463","CGA"
"464","CHAD"
"465","CHADL"
"466","CHD5"
"467","CHD7"
"468","CHD8"
"469","CHI3L1"
"470","CHODL"
"471","CHRD"
"472","CHRDL1"
"473","CHRDL2"
"474","CHRNA1"
"475","CHRNA10"
"476","CHRNA9"
"477","CHRNB2"
"478","CHRND"
"479","CHST11"
"480","CHSY1"
"481","CIAO3"
"482","CIAPIN1"
"483","CITED1"
"484","CITED2"
"485","CKB"
"486","CLCF1"
"487","CLCN2"
"488","CLDN1"
"489","CLDN18"
"490","CLDN4"
"491","CLDN5"
"492","CLEC3B"
"493","CLIC4"
"494","CLN8"
"495","CLP1"
"496","CLRN1"
"497","CLRN2"
"498","CMA1"
"499","CMTM7"
"500","CNFN"
"501","CNMD"
"502","CNN2"
"503","CNNM4"
"504","CNOT4"
"505","CNTF"
"506","CNTFR"
"507","CNTN1"
