"","x"
"1","HHIP"
"2","LRP1"
"3","LRP10"
"4","LRP2"
"5","LRP4"
"6","LRP5"
"7","LRP6"
"8","LRP11"
"9","LRP12"
"10","LRP3"
"11","ALDH1A1"
"12","ALDH1A2"
"13","ALDH1A3"
"14","BMP1"
"15","BMP10"
"16","BMP15"
"17","BMP2"
"18","BMP3"
"19","BMP4"
"20","BMP5"
"21","BMP6"
"22","BMP7"
"23","BMP8A"
"24","BMP8B"
"25","CER1"
"26","DHH"
"27","DKK4"
"28","FGF1"
"29","FGF10"
"30","FGF11"
"31","FGF12"
"32","FGF13"
"33","FGF14"
"34","FGF16"
"35","FGF17"
"36","FGF18"
"37","FGF19"
"38","FGF2"
"39","FGF20"
"40","FGF21"
"41","FGF22"
"42","FGF23"
"43","FGF3"
"44","FGF4"
"45","FGF5"
"46","FGF6"
"47","FGF7"
"48","FGF8"
"49","FGF9"
"50","GPC3"
"51","IHH"
"52","LEFTY1"
"53","LEFTY2"
"54","RARRES2"
"55","RGMA"
"56","RGMB"
"57","RSPO1"
"58","RSPO2"
"59","RSPO3"
"60","RSPO4"
"61","SHH"
"62","SOST"
"63","WNT1"
"64","WNT11"
"65","WNT16"
"66","WNT2"
"67","WNT2B"
"68","WNT3"
"69","WNT3A"
"70","WNT4"
"71","WNT5A"
"72","WNT5B"
"73","WNT6"
"74","WNT7A"
"75","WNT7B"
"76","WNT8A"
"77","WNT8B"
"78","WNT9B"
"79","ALDH16A1"
"80","ALDH18A1"
"81","ALDH1B1"
"82","ALDH1L1"
"83","ALDH1L2"
"84","ALDH2"
"85","ALDH3A1"
"86","ALDH3A2"
"87","ALDH3B1"
"88","ALDH3B2"
"89","ALDH4A1"
"90","ALDH5A1"
"91","ALDH6A1"
"92","ALDH7A1"
"93","ALDH8A1"
"94","BMP2K"
"95","RDH10"
"96","RDH11"
"97","RDH12"
"98","RDH13"
"99","RDH16"
"100","RDH5"
"101","RDH8"
"102","WNT10A"
"103","WNT10B"
"104","WNT9A"
"105","DKK1"
"106","DKK2"
"107","DKK3"
"108","SFRP1"
"109","SFRP2"
"110","SOSTDC1"
"111","WIF1"
"112","AKT1S1"
"113","AKT3"
"114","APC"
"115","APC2"
"116","AXIN1"
"117","AXIN2"
"118","CHRD"
"119","CHRDL1"
"120","CHRDL2"
"121","CRABP1"
"122","CRABP2"
"123","CTNNBIP1"
"124","DKKL1"
"125","FGFBP1"
"126","FGFBP2"
"127","FGFBP3"
"128","FRZB"
"129","GSK3B"
"130","HHIPL1"
"131","HHIPL2"
"132","KIF11"
"133","KIF12"
"134","KIF13A"
"135","KIF13B"
"136","KIF14"
"137","KIF15"
"138","KIF16B"
"139","KIF17"
"140","KIF18A"
"141","KIF18B"
"142","KIF19"
"143","KIF1A"
"144","KIF1B"
"145","KIF1C"
"146","KIF20A"
"147","KIF20B"
"148","KIF21A"
"149","KIF21B"
"150","KIF23"
"151","KIF24"
"152","KIF25"
"153","KIF26A"
"154","KIF26B"
"155","KIF27"
"156","KIF2A"
"157","KIF2B"
"158","KIF2C"
"159","KIF3A"
"160","KIF3B"
"161","KIF3C"
"162","KIF4A"
"163","KIF4B"
"164","KIF5A"
"165","KIF5C"
"166","KIF6"
"167","KIF7"
"168","KIF9"
"169","KIFAP3"
