"","x"
"1","A0A2R8YFF1"
"2","A0A3B3ISS9"
"3","A0A3B3IT34"
"4","A0A3B3ITR4"
"5","A0A494C176"
"6","A1CF"
"7","AACS"
"8","AARD"
"9","AARS1"
"10","AATF"
"11","AATK"
"12","ABAT"
"13","ABCA12"
"14","ABCA2"
"15","ABCA3"
"16","ABCB5"
"17","ABCB6"
"18","ABCC8"
"19","ABCD1"
"20","ABCD2"
"21","ABI1"
"22","ABI2"
"23","ABITRAM"
"24","ABL1"
"25","ABLIM1"
"26","ACACB"
"27","ACADM"
"28","ACAN"
"29","ACAP3"
"30","ACAT1"
"31","ACD"
"32","ACE"
"33","ACER1"
"34","ACER3"
"35","ACHE"
"36","ACIN1"
"37","ACKR2"
"38","ACKR3"
"39","ACO1"
"40","ACO2"
"41","ACOD1"
"42","ACP4"
"43","ACP5"
"44","ACP6"
"45","ACRV1"
"46","ACSBG1"
"47","ACSBG2"
"48","ACSL3"
"49","ACSL4"
"50","ACTA1"
"51","ACTA2"
"52","ACTB"
"53","ACTBL2"
"54","ACTC1"
"55","ACTG2"
"56","ACTL6A"
"57","ACTL6B"
"58","ACTN1"
"59","ACTN2"
"60","ACTN3"
"61","ACVR1"
"62","ACVR1B"
"63","ACVR1C"
"64","ACVR2A"
"65","ACVR2B"
"66","ACVRL1"
"67","ADA"
"68","ADA2"
"69","ADAD1"
"70","ADAM10"
"71","ADAM12"
"72","ADAM15"
"73","ADAM17"
"74","ADAM18"
"75","ADAM19"
"76","ADAM20"
"77","ADAM21"
"78","ADAM22"
"79","ADAM23"
"80","ADAM29"
"81","ADAM8"
"82","ADAM9"
"83","ADAMTS1"
"84","ADAMTS12"
"85","ADAMTS16"
"86","ADAMTS18"
"87","ADAMTS2"
"88","ADAMTS3"
"89","ADAMTS4"
"90","ADAMTS5"
"91","ADAMTS6"
"92","ADAMTS7"
"93","ADAMTS9"
"94","ADAMTSL2"
"95","ADAP2"
"96","ADAR"
"97","ADARB1"
"98","ADCY1"
"99","ADCY9"
"100","ADCYAP1"
"101","ADCYAP1R1"
"102","ADD2"
"103","ADGRA2"
"104","ADGRB1"
"105","ADGRB2"
"106","ADGRB3"
"107","ADGRF1"
"108","ADGRF5"
"109","ADGRG1"
"110","ADGRG3"
"111","ADGRG6"
"112","ADGRL2"
"113","ADGRL3"
"114","ADGRV1"
"115","ADIPOQ"
"116","ADM"
"117","ADM2"
"118","ADNP"
"119","ADNP2"
"120","ADORA1"
"121","ADORA2A"
"122","ADRA1A"
"123","ADRB2"
"124","ADTRP"
"125","AFF2"
"126","AFF3"
"127","AFP"
"128","AGBL4"
"129","AGER"
"130","AGO1"
"131","AGO2"
"132","AGO3"
"133","AGO4"
"134","AGPAT5"
"135","AGR2"
"136","AGRN"
"137","AGT"
"138","AGTPBP1"
"139","AGTR1"
"140","AGTR2"
"141","AHI1"
"142","AHR"
"143","AHSG"
"144","AHSP"
"145","AICDA"
"146","AIF1"
"147","AIMP1"
"148","AIMP2"
"149","AIRE"
"150","AJAP1"
"151","AK4"
"152","AK8"
"153","AKAP13"
"154","AKAP3"
"155","AKAP6"
"156","AKNA"
"157","AKR1B1"
"158","AKR1C3"
"159","AKT3"
"160","ALAS1"
"161","ALAS2"
"162","ALCAM"
"163","ALDH1A2"
"164","ALDH1A3"
"165","ALDH3A2"
"166","ALDH5A1"
"167","ALG5"
"168","ALK"
"169","ALKBH1"
"170","ALOX12"
"171","ALOX12B"
