"","x"
"1","A0A2R8YFF1"
"2","A0A3B3ITR4"
"3","A0A494C176"
"4","AAMDC"
"5","ABCA1"
"6","ABCA12"
"7","ABCA5"
"8","ABCC8"
"9","ABCG1"
"10","abeta-42-oligomer_human"
"11","ABI2"
"12","ABI3"
"13","ABL1"
"14","ACACB"
"15","ACIN1"
"16","ACTN3"
"17","ACVR1"
"18","ACVR1B"
"19","ACVR2A"
"20","ACVR2B"
"21","ACVRL1"
"22","ADA"
"23","ADAM10"
"24","ADAM12"
"25","ADAM8"
"26","ADAM9"
"27","ADAMTS1"
"28","ADAMTS12"
"29","ADAMTS20"
"30","ADAMTS7"
"31","ADAMTS9"
"32","ADCK1"
"33","ADCYAP1"
"34","ADGRA2"
"35","ADGRB1"
"36","ADGRB2"
"37","ADGRB3"
"38","ADGRL1"
"39","ADGRL2"
"40","ADGRV1"
"41","ADIG"
"42","ADIPOQ"
"43","ADIRF"
"44","ADM"
"45","ADM2"
"46","ADNP"
"47","ADRA2B"
"48","ADRA2C"
"49","ADRB1"
"50","ADRB2"
"51","AGBL4"
"52","AGER"
"53","AGO1"
"54","AGO2"
"55","AGO3"
"56","AGO4"
"57","AGR2"
"58","AGRN"
"59","AGT"
"60","AGTR1"
"61","AGTR2"
"62","AHI1"
"63","AHSG"
"64","AJAP1"
"65","AKAP6"
"66","AKT3"
"67","ALK"
"68","ALOX12"
"69","ALOX15B"
"70","ALOX5"
"71","ALPK2"
"72","ALX1"
"73","AMELX"
"74","AMH"
"75","AMIGO1"
"76","AMIGO2"
"77","AMIGO3"
"78","AMOT"
"79","AMTN"
"80","ANGPT2"
"81","ANGPT4"
"82","ANGPTL3"
"83","ANGPTL4"
"84","ANGPTL7"
"85","ANKH"
"86","ANKLE1"
"87","ANKRD17"
"88","ANKRD2"
"89","ANKRD26"
"90","ANKRD27"
"91","ANKRD54"
"92","ANKRD6"
"93","ANO6"
"94","ANXA1"
"95","ANXA3"
"96","AP1AR"
"97","AP2B1"
"98","AP3B1"
"99","AP3D1"
"100","APC"
"101","APC2"
"102","APCS"
"103","APELA"
"104","APLNR"
"105","APOA1"
"106","APOB"
"107","APOE"
"108","APOH"
"109","APOLD1"
"110","APP"
"111","APPL2"
"112","AQP1"
"113","AQP3"
"114","AR"
"115","ARAP1"
"116","ARC"
"117","AREG"
"118","ARF6"
"119","ARG2"
"120","ARHGAP15"
"121","ARHGAP18"
"122","ARHGAP33"
"123","ARHGAP4"
"124","ARHGAP44"
"125","ARHGEF15"
"126","ARHGEF18"
"127","ARHGEF19"
"128","ARHGEF2"
"129","ARHGEF7"
"130","ARNTL"
"131","ARPIN"
"132","ARRB2"
"133","ARX"
"134","ASAP1"
"135","ASB4"
"136","ASCL1"
"137","ASCL2"
"138","ASH2L"
"139","ASIC2"
"140","ASPA"
"141","ASPM"
"142","ASPN"
"143","ASXL2"
"144","ATAT1"
"145","ATF2"
"146","ATOH1"
"147","ATOH8"
"148","ATP10A"
"149","ATP11A"
"150","ATP2B1"
"151","ATP2B4"
"152","ATP8A2"
"153","AURKA"
"154","AXIN2"
"155","AXL"
"156","B2M"
"157","BAIAP2"
"158","BAMBI"
"159","BARHL2"
"160","BASP1"
"161","BAX"
"162","BBS12"
"163","BBS2"
"164","BCL11A"
"165","BCL11B"
"166","BCL2"
"167","BCL2L11"
"168","BCL6"
"169","BCL6B"
"170","BCL9L"
"171","BCOR"
"172","BDNF"
"173","BEND6"
"174","BGLAP"
"175","BHLHA15"
"176","BHLHB9"
"177","BHLHE40"
"178","BHLHE41"
"179","BIN1"
"180","BIRC2"
"181","BLOC1S5"
"182","BLOC1S6"
"183","BMP1"
"184","BMP10"
"185","BMP2"
"186","BMP2K"
"187","BMP4"
"188","BMP5"
"189","BMP6"
"190","BMP7"
"191","BMPER"
"192","BMPR1A"
"193","BMPR1B"
"194","BMPR2"
"195","BNC1"
"196","BNIP2"
